ViolationCode,ViolDescription
22-2-20,Burning solid waste  in open fires
22-2-22,Bulk solid waste deposited more than 24 hours before designated time
22-2-45,Violation of time limit for approved containers to remain at curbside - early or late
22-2-88(a),"Failure of owner to keep property, its sidewalks, or adjoining public property free from medical or hazardous waste"
22-2-17,Improper storage and separation of solid waste for collection day
22-2-83(a)(b)(c),"Dumping,  or deposting solid waste of five (5) cubic feet or more from any motor vehicle upon any public or private property or street"
22-2-49,Large movable or stationary containers; residential structures and commercial
22-2-88,"Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste"
22-2-56,Courville container left at curb early or improperly stored
22-2-23,Bulk solid waste deposited more than 24 hours before designated time
22-2-21(b),Failure to remove animal waste on public/private property
22-2-83,"Dumping, storing or depositing solid waste on any publicly-owned property, or private property or water, without a permit"
22-2-43,Improper placement of Courville container between collections
22-2-83a,"Dumping, storing or depositing medial or hazardous waste on any pubicly-owned property, or private property or water, without a permit"
22-2-61,Failing to secure City or Private solid waste collection containers and services
22-2-41,"Improper placement of courville containers at residential structures containing one, two, three or four household units"
22-2-44,Improper placement of Courville containers for collection-commercial or resident
22-2-16,Improperly stored or separated Solid Waste
22-2-84(a)(1)(2)(4),Failure to remove or cause to be removed any solid waste within 48 hours or placement; declare to be a public nuisance
22-2-87(a),"Failure to remove, or cause to be removed, and properly dispose of medical or hazardous waste before vacating private property or water"
9-1-36(a),Failure of owner to obtain certificate of compliance
9-1-36(c),"Failure of owner to post, maintain, or present certificate of compliance dwelling, building, or structure"
9-1-355,Failure of owner or occupant to maintain rodent and pest free condition one- or two- family dwelling or building
9-1-45,Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building
9-1-209,"Failure to maintain balcony, deck, porch, or stairway one- or two-family dwelling or commercial building"
9-1-104,Excessive weeds or plant growth one- or two-family dwelling or commercial Building
9-1-353(2),Failure of single-tenant in nonresidential structure to exterminate building
61-63.0100,Noncompliance/Grant Condition/BZA/BSE
61-63.0600,Failed To Secure Permit For Lawful Use Of Building
61-130.0000/130.0400,"Banner/ Sinage/ Antenna (B1,B2,SD1,SD2)"
61-63.0500,Failed To Secure Permit For Lawful Use Of Land
61-90.0100,"Other Non-Compliance with Land Use Requirements (B1,B2,B3,B4,B5,B6)"
61-47.0000/47.0108,Insufficient parking
9-1-103(C),Removal of snow and ice from sidewalks
22-2-38,"Depositing domestic or commercial solid waste in containers owned, assigned to, or contracted for, by other persons or premises"
22-2-91,Dumping or depositing solid waste from a motor vehicle
22-2-55,Improper location of containers for collection
9-1-102,Defective grading or drainage one- or two-family dwelling or commercial building
61-116.0100/32.0031,Open Storage/ Non-residential/ Debris (W1)
9-1-105,Rodent harborage one-or two-family dwelling or commercial building
61-102.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M2)
61-101.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M1)
9-1-106,Defective or unapproved exhaust vent(s) or other means one- or tow-family dwelling or commercial building
9-1-108,Defective gate(s) one- or two-family dwelling or commercial building
9-1-110(a),Inoperable motor vehicle(s) one- or two-family dwelling or commercial building
9-1-101,Unlawful accumulation of solid waste one- or two-family dwelling or commercial building
61-81.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R1)
61-83.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R3)
61-82.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R2)
61-81.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R1)
61-80.0100,"Open Storage/ Residential (R1,R2,R3,R4,R5,R6)"
61-80.0100,"Other Non-Compliance with Land Use Requirements (R1,R2,R3,R4,R5,R6)"
61-114.0100,Other Non-Compliance with Land Use Requirements (TM)
9-1-13,Failure to maintain vacant one- or two- family dwelling or building
9-1-206,Defective roof or drainage one- or two-family dwelling or commercial building
22-2-94,"Failure to transport and deliver scrap tires to proper disposal area or licensed transfer facility, or to use vehicle or container that does not leak or spill"
22-2-86,"Failure to remove, cause to be removed, and prevent the release or futher release, of medical or hazardous waste"
22-2-85,"Generating, disposing, storing, treating, processing, reprocessing or transporting hazardous waste without complying with Michigan Natural Resources Environmental Protection Act"
9-1-43(a) - (Dwelling),Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy
9-1-201(a),"Failure to maintain exterior of one- or two-family dwelling, building, premises or commercial structure in good repair, structurally sound or in a sanitary condition to prevent threat to the public health, safety or welfare"
9-1-205,Defective exterior wall(s) one- or two-family dwelling or commercial building
9-1-107,Failure to maintain accessory structure(s) one-or two- family dwelling or commercial building
22-2-84 (DO NOT USE - INVALID CODE),Failure to remove solid waste within 72 hours
9-1-201(b),Failure to maintain exterior surface of one- or two-family dwelling or commercial building
9-1-214,Defective window(s) or window hardware one- or two-family dwelling
9-1-204,Defective foundation wall(s) one- or two-family dwelling or commercial building
9-1-477,"Failure to maintain or properly install electrical equipment, wiring, or appliance in a safe or approved manner one- or two- family dwelling or building"
9-1-211,Defective or unapproved handrail(s) or guard(s) one- or two-family dwelling or commercial  building
9-1-220,Failure to maintain skirting for exterior opening(s) one- or two-family dwelling or commercial building
9-1-210,Defective chimney(s) or tower(s) one- or two-family dwelling or commercial building
9-1-81(a),Failure to obtain certificate of registration for rental property
61-130.0000/130.0300,"Banner/ Sinage/ Antenna (R1,R2,R3,R4,R5,R6,SD4)"
9-1-110(b),Unlawful painting of motor vehicles one- or two-family dwelling or commercial building
9-1-221,Unlawful storage of items outside one- or two-family dwelling or commercial building
9-1-103 (a) or (b),"Defective  driveway(s), parking space(s), walkway(s), areas of traverse  dwellings or buildings"
9-1-111,Graffiti or defacement on exterior surface of one- or two-family dwelling or commercial building
9-1-208,Failure to maintain overhang extension(s) one- or two-family dwelling or commercial building
9-1-310,"Failure to maintain operable or unobstructed opening protective(s), fire or smoke barrier door(s) one- or two- family dwelling or building"
9-1-476,Hazardous electrical system one- or two- family dwelling  or building
9-1-303,"Failure to maintain interior surface(s) in good, clean, and sanitary conditon one- or two- family dwelling or commercial building"
9-1-503,Defective or obstructed duct system one- or two- family dwelling or building
9-1-36(d),"Occupancy without certificate of compliance one-or two-family dwelling, building, premise or structure"
9-1-304,Failure to maintain stairs or other walking surface(s) in sound condition and in good repair one- or two-family dwelling or commercial building
61-111.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (P1)
22-2-97(b),Improperly dispositing of less than 1 cubic foot or solid waste(simple littering)
61-121.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (SD4)
61-120.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (SD3)
61-105.0100/32.066,Open Storage/ Non-residential/ Inoperable Vehicles (M5)
9-1-331,Unlawful accumulation of solid waste in interior of one- or two- family dwelling or building
9-1-301,"Failure to maintain interior of one- or two-family dwelling or commercial building in good repair, or in a clean and sanitary condition"
9-1-83,Occupy rental property without a certificate of compliance one- or two- family dwelling or commercial building
61-114.0100/32.0031,Open Storage/ Non-residential/ Debris (TM)
9-1-202,Defective or no building identification one- or two-family dwelling or commercial building
9-1-219,Failure to provide approved or required mail receptacle(s)  one- or two-family dwelling or commercial building
9-1-351,Interior insect or rodent infestation one- or two family dwelling or building
9-1-43(a) - (Structures),"Failure of owner of any other structure, except buildings with five (5) or more stories, to comply with an emergency or imminent danger order concerning an unsafe or unsanitary structure or unlawful occupancy"
9-1-45(c),Defacement or removal of closing or condemnation notice one- or two-family dwellling or building
61-84.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R4)
22-2-42,Early placement of Courville Containers at residential structures with five or more household units
61-130.0000/130.0500,"Banner/ Sinage/ Antenna (B3,B4,B5,B6,M1,M2,M3,M4,M5,W1)"
9-1-43(a) - (Stories),Failure of owner of a building with five (5) or more stories to comply with an emergency or imminent danger order concerning an unsafe or unsanitary structure or unlawful occupancy
9-1-216,Defective door(s) one- or two-family dwelling or commercial building
9-1-212,"Defective door, skylight, or window frame(s) one- or two-family dwelling or commercial building"
9-1-207,Failure to maintain decorative feature(s) one- or two-family dwelling or commercial building
9-1-81(b),False information on application for certificate of registration one- or two-family dwelling or commercial building
9-1-306,Defective interior door(s) building one- or two-family dwelling or commercial building
9-1-213,Defective glazing one- or two-family dwelling or commercial building
9-1-432(a),"Failure of owner to provide or maintain required facilities, fixtures and systems for plumbing or drainage one- or two- family dwelling or building"
9-1-462(a),Failure of owner to provide or maintain required mechanical or electrical equipment and facilities one- or two- family dwellings or buildings
9-1-474,Failure to provide required electrical system for occupied one- or two- family dwelling  or building
9-1-354,Owner or occupant failure to exterminate public or shared area or exterior property two family dwelling or building
9-1-311,Failure to maintain or provide required smoke alarm(s) one-or two- family dwelling or builiding
9-1-501,"Failure to maintain elevator, dumbwaiter, or escalator or display current certification of inspection one- or two- family dwelling or building"
61-4-33,Unlawful change of use of building without a permit
9-1-440,Defective plumbing system drainage one-or-two family dwelling or building
9-1-441,Defective contaminated or unapproved water supply system for plumbing facilities or fixture(s) one- or two- family dwelling  or building
9-1-464,Defective or unapproved heating facilities in a  one- or two- family dwelling or building
9-1-441(a),Defective hot or cold water of unapproved connection to water supply system for plumbing facilities or fixture(s)
9-1-442,Defective or unapproved water heating facilities one- or two- family dwelling  or building
9-1-406,Use of kitchen or other non-habitable space(s) for sleeping purposes one- or two family dwelling or building
9-1-444,Maintenance of hazardous plumbing or drainage system in a one- or two- family dwelling or building
9-1-309,Locked doors preventing doors preventing safe egress building one- or two-family dwelling or commercial building
9-1-469,Defective or unapproved removal and  ventilation for fuel burning appliance or equipment one- or two- family dwelling or building
9-1-443(a),Defective or unapproved plumbing connection to public sewer system one- or two- family dwelling or building
9-1-305,Defective or unapproved handrail(s) or guard(s) one- or two-family dwelling or commercial building
9-1-479,"Failure to provide electric lighting fixture in bathroom, boiler room, furnace room, interior stairway, lavatory room, public hall, or toilet room one- or two- family dwelling or building"
9-1-439,Defective installation or maintenance of plumbing fixture(s) one- or two- family dwelling or building
61-4-32,Unlawful change of use of land without a Permit
9-1-45(b),"Occupancy of building, premises or structure subject to a notice of closure or to operate equipment subject to a posted notice"
9-1-46(a),"Unlawful entry of building, premises or structure declared unsafe for occupancy"
9-1-433,"Failure to maintain or provide bathtub or shower, lavatory, toilet or water closet, or kitchen sink in a one- or two- family dwelling or building"
9-1-478,Insufficient electrical receptacles one- or two- family dwelling or building
9-1-12(b),"Occupancy of building, premises or structure not maintained in habitable, sanitary, and safe condition"
9-1-375,"Failure to provide sufficient lighting for common hall(s), stairway(s) , or means of egress for building"
9-1-307,"Failure to provide safe, continuous and unobstructed means of egress one- or two family dwelling or commercial buillding"
9-1-465,Failure to furnish required heat for rental unit one- or two- family dwelling or building
22-2-87,"Failure to remove, or cause to be removed, and properly dispose of solid waste before vacting priovate property or water"
22-2-53,Improper storage of containers between collection days
22-2-18,"Disposing of undrained, unwrapped waste: Disposal not in approved container; Burning of waste"
22-2-96,Improperly depositing solid waste public receptacles
9-1-443(b),"Defective plumbing stack, vent, waste or sewer line for sanitary drainage system one- or two- family dwelling or building"
9-1-468,"Failure to maintain mechanical appliances and equipment in a safe working condition, properly installed and capable of performing the intended function for dwelling or building"
9-1-405,Failure to maintain window(s) for emergency escape and rescue in sleeping area one- or two- family dwelling or building
9-1-18,"Sell or transfer of one- or two-family dwelling, building, premise or structure without copy of pending notice, order, violation notice or citation"
61-5-21,"Failed to comply with other land use or procedural requirements - Unlawful Sign, Banner or antenna"
9-1-85,Failure to designate or post name responsible person(s) or employee for emergency purposes one- or two-family dwelling or commercial building
9-1-471,Failure to maintain safety control(s) for fuel-burning appliance or equipment one- or two family dwelling or building
61-8-127,Land Use without Permit - Unlawful storage of vehicle upon vacant land
61-8-27,"Storage,dismantling or repair of motor vehicle or equipment on residential property without a permit"
9-1-84,Failure to post Tenant's Statement of Rights or House Rules and Tenant Responsibilities one- or two-family dwelling or commercial building
9-1-377,Failure to provide openable window for habitable space(s)  one- or two- family dwelling or building
9-1-81(e),Occupancy of rental property without certificate of registration
22-3-2,"Using improper transport vehicle for solid, medical or hazardous waste; failure to obtain Police department certification"
22-2-93,"Failure to transport and deliver solid waste, with manifest, to proper disposal area or licensed transfer facility, or to use vehicle or container that does not leak or spill"
9-1-109,Failure to maintain swimming pool(s) one- or two-family dwelling or commercial building
9-1-333,"Unlawful disposal, separation, or storage of commercial solid waste by commercial establisments building"
9-1-112,Failure to remove recreation equipment or furniture one- or tow-family dwelling or commercial building
22-2-96,Improper use of or deposit of solid waste in or around portable containers
61-4-38,Failed to comply or maintain a grant condition
61-5-19,Failure to comply with condition granted by the Building and Safety Department or by the Board of Zoning Appeals
61-8-47,"Failed to comply with land use requirements, i.e. unlawful storage of vehicle on residential land"
61-81.0100/32.0031,Open Storage/ Residential/ Debris (R1)
9-1-352,Owner failure to exterminate prior to renting or leasing one- or two- family dwelling or building
61-83.0100/32.0031,Open Storage/ Residential/ Debris (R3)
61-45.0000,Other Dimensional Noncompliance
9-1-203,Defective structural member(s) one- or two-family dwelling or commercial building
61-5-18,Unlawful change of use of building or land
22-2-21(a),Placing animal and fowl excrement in approved container without proper wrapping
22-2-84(b)(3),Failure to remove the large movable container within 48 hours of its placement
61-5-18,Unlawful use of Land
61-118.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (SD1)
61-122.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (SD5)
9-1-302,Defective structural member(s) one- or two-family dwellling or commercial building
61-86.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R6)
61-86.0100/32.0076B,Open Storage/ Residential/ Refuse (R6)
61-85.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R5)
61-82.0100/32.0031,Open Storage/ Residential/ Debris (R2)
9-1-42,"Failure to abate unlawful occupancy of Building,Premises or Structure - Emergency Order - Less than 5 stories"
9-1-42,"Failure to abate unlawful occupancy of Building,Premises or Structure emergency order - 1 or 2 family dwelling"
61-5-21,Failed to comply with other land use or procedural requirements - FAILURE TO COMPLY WITH PROCEDURAL OR OTHER REQUIREMENTS
61-14-176,Unlawful storage upon residential land - inoperable recreational equipment
22-2-25,Infectious solid waste and other medical waste not burned in approved incinerator
9-1-42,"Failure to abate unlawful occupancy of Building,Premises or Structure - Emergency Order - 5 stories or more"
61-104.0100,Open Storage/ Non-residential/ Other (M4)
9-1-215,Failure to provide approved insect screen(s) one- or two-family dwelling or commercial building
61-45.0000/45.0800,Projection/Encroachment
61-86.0100/32.0031,Open Storage/ Residential/ Debris (R6)
61-86.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R6)
61-5-20,Failure to comply with a dimensional requirement
61-5-21,Failed to comply with other land use or procedural requirements - Vehicle other than operable recreational equipment or operable private passenger vehicle(RESIDENTIAL)
61-5-18,Unlawful change of use of building
9-1-381,Failure to provide required local exhaust ventilation system one- or two- family dwelling or building
61-5-21,Failed to comply with other land use or procedural requirements - Inoperable vehicle(Non-RESIDENTIAL)
61-14-175,Unlawful storage upon residential land - Vehicle or equipment other than operable recreational equipment or operable private passenger vehicle
61-85.0100/32.0031,Open Storage/ Residential/ Debris (R5)
61-84.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R4)
61-85.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R5)
61-115.0100/32.0031,Open Storage/ Non-residential/ Debris (PR)
61-114.0100,Open Storage/ Non-residential/ Other (TM)
61-4-35,Failed to secure permit required for erection or alteration of a building or structure
61-5-21,Failed to comply with other land use or procedural requirements - OTHER NON-COMPLIANCE WITH LAND USE REQUIREMENTS
61-4-37,Failure to secure a certificate of Maintenance of Grant Conditions
61-100.0100,"Other Non-Compliance with Land Use Requirements (M1,M2,M3,M4,M5)"
22-2-83(c),"Dumping, storing or depositing solid waste 5 or more cubic yards on any publicly-owned property, or private property or water, without a permit"
22-2-88(a),"Failure of owner to keep property, its sidewalks, or adjoining public property free from solid, medical or hazardous waste"
22-2-83(b),"publicly-owned property, or private property or water, without a permit or dumping, storing or depositing solid waste less than 5 cubic feet from a moving vehicle on any publicly-owned property, or private property or water, without a permit"
22-2-88,"Failure of owner to keep property, its sidewalks, or adjoining public property free from solid, medical or hazardous waste"
22-2-22(a),Bulk solid waste deposited more than 24 hours before designated time
22-2-88(b),Allowing bulk solid waste to lie or accumulate on or about the premises
61-5-21,Failed to comply with other land use or procedural requirements - Other unlawful storage(RESIDENTIAL)
9-1-502,Failure to maintain at least one (1) elevator in an occupied building or structure with two or more elevators
61-5-21,Failed to comply with other land use or procedural requirements - Inoperable private passenger vehicle(RESIDENTIAL)
22-2-44,Improper placement of Courville containers for collection-commercial or residential
22-2-17(a),Improper storage and separation of solid waste for collection day
22-2-21(b),Failure to remove animal waste on public or private property
61-5-21,Failed to comply with other land use or procedural requirements - Other unlawful storage(Non-RESIDENTIAL)
61-116.0100/32.0076B,Open Storage/ Non-residential/ Refuse (W1)
9/1/1942,"Failure to abate unlawful occupancy of Building,Premises or Structure - Emergency Order - Less than 5 stories"
22-2-84(a),"Failure to remove or cause to be removed, and properly dispose of solid waste within 48 hours of owner or operator  knew or should have known of its existance"
22-2-49(a),Failure to obtain a permit for large movable or stationary container prior to the installation on any public right-of-way
22-2-61,Failure to secure City or Private solid waste collection containers and services
22-2-84(b)(1),Failure to provide a roll off container when tenant is evicted or improper placement of roll-off on public area adjacent to owner/operator's property
22-2-83(d),"Dumping, storing or depositing solid waste 5 or more cubic feet from a moving vehicle on any publicly-owned property, or private property or water, without a permit"
22-2-49(c),Failure to maintain sufficient large movable or stationary containers at least two (2) cubic yard capacity
22-2-42(b),Early placement of Courville containers at residential structures with five or more household units
22-2-97,"Dumping of solid, medical or hazardous waste in public waters"
61-96.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (B6)
22-2-19,Burning solid waste in open fires
22-2-83(b),"Dumping, storing or depositing solid waste less than 5 cubic feet from a moving vehicle on any publicly-owned property, or private property or water, without a permit"
9/1/2013,Failure to maintain vacant one- or two- family dwelling or building
22-2-18,Unapproved burning of solid waste
22-2-87,"Failure to remove, or cause to be removed, and properly dispose of solid waste before vacating private property or water"
22-2-92,Failure to transport solid  waste as required by the Michigan NREPA (Natural Resources Environmental Protection Act)
9-1-332,"Unlawful disposal separation, or storage of domestic solid waste from building(s) or structure(s) one- or two- family dwelling or building"
9/1/1945,Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building
9-1-43(a) - (Dwelling),Fail to comply with an Emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy (1 or 2 family dwelling)
22-2-49(d),Placement of  large movable or stationary containers upon a public right-of-way without a permit
9-1-43(a) - (Stories),Fail to comply with an Emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy (Buildings with five (5) or more stories)
61-14-452(2),Land Use without Permit-unlawful storage of refuse or debris on vacant land
9-1-82(d) - (Structures < 5 stories),"Unlawful occupation of rental property without lead clearance -  all other structures, except buildings with five (5) or more stories"
9-1-83 - (Dwelling),Failure to obtain a lead clearance for rental property - one or two-family dwelling
9-1-43(a) - (Structures),"Fail to comply with an Emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy (all other structures, except buildings with five (5) or more stories)"
9/1/1942,"Failure to abate unlawful occupancy of Building,Premises or Structure emergency order - 1 or 2 family dwelling"
9-1-82(d) - (Dwelling),Unlawful occupation of rental property without lead clearance - one or two-family dwelling
9-1-83 - (Structures < 5 stories),"Failure to obtain a lead clearance for rental property -  all other structures, except buildings with five (5) or more stories"
9/1/1983,Occupy rental property without a certificate of compliance one- or two- family dwelling or commercial building
9-1-82(d) - (Building 5 or more stories),Unlawful occupation of rental property without lead clearance - buildings with five (5) or more stories
22-2-91,Improper transport of  hazardous waste
9-1-82(b),Failure to obtain Certificate of Compliance for rental property
9-1-466,Failure to provide sufficient heat for indoor employees in one- or two- family dwelling or building
9-1-434,"Failure to provide bathtub or shower, lavatory or toilet or water closet for each four(4) units rooming  in a one- or two- family dwelling or building"
9-1-83 - (Building 5 or more stories),Failure to obtain a lead clearance for rental property - buildings with five (5) or more stories
9-1-308,Failure to provide safe and continuous unobstructed aisle one- or two-family dwelling or commercial building
9/1/2018,"Sell or transfer of one- or two-family dwelling, building, premise or structure without copy of pending notice, order, violation notice or citation"
22-2-41(b),"Early placement of Courville containers at residential structures with one, two, three or four household units"
9-1-50 (e),Failure to obtain the certificate of Compliance for Vacant Building
9-1-50(b),Failure to obtain a Certificate of Vacant Property Registration
9-1-113,Failure to maintain a vacant building or structure in accordance with the requirements of Section 9-1-113 of the Detroit City Code: (1) - (12) (One or Two Family dwelling)
9-1-113,Failure to maintain a vacant building or structure in accordance with the requirements of Section 9-1-113 of the Detroit City Code: (1) - (12) (All structures except 1 or 2 family dwellings and buildings with 5 or more stories)
9/1/2016,"Failure to maintain device, equipment, safeguard or system in good repair one- or two-family dwelling, building, premise or structure"
9-1-50(a),Failed to obtain the required Certificate of registration for Vacant Building
9-1-113,Failure to maintain a vacant building or structure in accordance with the requirements of Section 9-1-113 of the Detroit City Code: (1) - (12) (Buildings with 5 or more stories)
9/1/1941,"Failure to abate unsafe condition for Building, premises, structure(s), equipment or device(s)."
22-2-49(b),"Failure to identify or label large containers with name, capacity, address for which the container was approved in Arabic numerals at least three (3) inches"
22-2-93,"Failure to transport and deliver scrap tires, with manifest, to proper disposal area or licensed transfer facility, or to use vehicle or container that does not leak or spill"
61-84.0100/32.0076B,Open Storage/ Residential/ Refuse (R4)
61-105.0100/32.0076B,Open Storage/ Non-residential/ Refuse (M5)
22-2-96(a),"Transporting solid waste or hazardous waste from dwelling, residence, place of business and depositing in receptacles along public highways or city streets"
22-3-3,"Failure to display the name,address, and telephone number of the licensee affixed on each side in Roman letters and Arabic numerals which must be at least three (3) inches in height"
61-84.0100/32.0031,Open Storage/ Residential/ Debris (R4)
22-2-48(b),Failure to provide portable containers for use of the public
9/1/1985,Failure to designate or post name responsible person(s) or employee for emergency purposes one- or two-family dwelling or commercial building
9-1-411,Failure to comply with Directors requirement(s) for lodgers or boarders two family dwelling or building
9-1-378,Failure to provide required ventilation for bathroom(s) or toilet room(s) one- or two- family dwelling or building
9-1-312,Defective  improper protection of basement(s) or cellar(s)  on building
9/1/1991,Failure to obtain Lead Clearance certificate for Multiple Dwelling less than 5 stories.
9/1/1984,Failure to post Tenant's Statement of Rights or House Rules and Tenant Responsibilities one- or two-family dwelling or commercial building
9/1/1991,Failure to obtain Lead Clearance Certificate
61-91.0100/32.0031,Open Storage/ Non-residential/ Debris (B1)
22-2-24,Infectious solid waste and other medical waste not burned in an approved incinerator
9-1-412,Unlawful room and board home one- or two- family dwelling for a building
9-1-353(1),Failure of occupants of one family dwelling to exterminate
61-5-14 (9),"Failure to establish or operate other activities, structures, or land uses that are in violation of specific provisions, of the general purpose and inten, of the Zoning Ordinance"
9/1/1991,failure to obtain a lead clearance certificate for multiple dwelling greater than 5 stories
61-101.0100/32.0031,Open Storage/ Non-residential/ Debris (M1)
61-112.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (PC)
9-1-218,Failure to maintain adequate guard(s) for basement window(s) one- or two-family dwelling or commercial building
61-103.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M3)
9/1/1991,Failure to obtain Lead Clearance Certificate for one or two family dwelling
61-83.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R3)
9/1/1942,"Failure to abate unlawful occupancy of Building,Premises or Structure - Emergency Order - 5 stories or more"
9/1/1941,"Failure to abate unsafe condition for Building, premises, structure(s), equipment or device(s).   1 or 2 family dwelling."
61-5-21,Failed to comply with other land use or procedural requirements - Refuse or debris(Non-RESIDENTIAL)
61-104.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M4)
61-81.0100/32.0076B,Open Storage/ Residential/ Refuse (R1)
22-2-83(a)(b)(c),"Dumping, storing or depositing solid waste on any publicly-owned property, or private property or water, without a permit"
9-1-111(a),"Unlawful grafitti, demage or deface to exterior of building or structure"
9-1-111(b),Failure of owner to restore exterior of buildingg or struture demaged by grafitti
61-103.0100/32.0031,Open Storage/ Non-residential/ Debris (M3)
9-1-82(d) - (Structures < 5 stories),"Unlawful occupation of rental property without lead clearance - all other structures, except buildings with five (5) or more stories"
9-1-111,Failure of owner to remove graffiti or maintain or restore property free of graffiti.
22-2-83(a)(b)(c),"Dumping, or deposting solid waste of five (5) cubic feet or more from any motor vehicle upon any public or private property or street"
9-1-83 - (Structures < 5 stories),"Failure to obtain a lead clearance for rental property - all other structures, except buildings with five (5) or more stories"
22-2-83(a)(c),Dumping or depositing solid waste from a motor vehicle
61-12-437,Improper outdoor vending -
22-2-49(d),Placement of large movable or stationary containers upon a public right-of-way without a permit
22-2-48(a),Failure to provide portable containers to properly store solid waste between collections
9/1/1941,"Failure to abate unsafe condition for Building, premises, structure(s), equipment or device(s). 1 or 2 family dwelling."
22-2-84(a),"Failure to remove or cause to be removed, and properly dispose of solid waste within 48 hours of owner or operator knew or should have known of its existance"
9-1-469,Defective or unapproved removal and ventilation for fuel burning appliance or equipment one- or two- family dwelling or building
22-2-85,"Generating, depositing, storing, treating, processing or transporting hazardous waste without complying with Michigan Natural Resources Environmental Protection Act(NREPA)"
22-2-97,Improperly depositing solid waste in public receptacles
9-1-103 (a) or (b),"Defective driveway(s), parking space(s), walkway(s), areas of traverse dwellings or buildings"
